,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
869,9225,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
870,9226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
871,9241,6.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0
872,9242,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,6.0,0.0,4.0,0.0,7.0
873,9243,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
874,9251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875,9252,3.0,0.0,0.0,13.0,11.0,0.0,5.0,3.0,0.0,14.0,6.0,4.0,2.0,4.0
876,9253,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0
877,9255,3.0,0.0,0.0,6.0,18.0,6.0,7.0,5.0,0.0,23.0,7.0,15.0,5.0,9.0
878,9256,7.0,0.0,0.0,9.0,27.0,12.0,21.0,5.0,1.0,18.0,16.0,19.0,3.0,23.0
879,9257,3.0,0.0,0.0,4.0,11.0,1.0,9.0,3.0,0.0,5.0,2.0,1.0,6.0,5.0
